id,year,issue_d,final_d,emp_length_int,home_ownership,income_category,annual_inc,income_cat,loan_amount,term,term_cat,application_type,purpose,purpose_cat,interest_payments,loan_condition,interest_rate,grade,grade_cat,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
1006845,2011,01/11/2011,1052015,8,RENT,Low,30000,1,12000, 60 months,2,INDIVIDUAL,house,12,Low,Good Loan,9.91,B,2,8.8,14950.93527,12000,0,254.44,Northern-Irl
1005792,2011,01/11/2011,1012012,6.05,RENT,Low,36000,1,10000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,6.03,A,1,10,10099.43,10000,0,304.36,ulster
1005771,2011,01/11/2011,1102012,4,MORTGAGE,Medium,124000,2,16000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,6.03,A,1,4.73,16770.78,16000,0,486.97,Northern-Irl
1004462,2011,01/11/2011,1052013,10,MORTGAGE,Low,75000,1,18400, 60 months,2,INDIVIDUAL,house,12,High,Bad Loan,23.13,G,7,7.86,9707.88,3275.6,868.51,520.08,leinster
1004455,2011,01/11/2011,1112014,10,MORTGAGE,Low,54000,1,10000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,7.9,A,1,19.07,11263.18245,10000,0,312.91,leinster
981387,2011,01/10/2011,1042014,7,MORTGAGE,Low,25920,1,11325, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,10.65,B,2,18.89,13187.78995,11325,0,368.9,leinster
1003549,2011,01/10/2011,1012013,10,RENT,Low,97000,1,30000, 36 months,1,INDIVIDUAL,house,12,Low,Bad Loan,10.65,B,2,22.74,14800.55,10522.39,1118.61,977.2,cannught
999983,2011,01/10/2011,1052013,6.05,RENT,Low,20000,1,10000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,6.62,A,1,2.4,10773.46,10000,0,307.04,leinster
991910,2011,01/10/2011,1112014,10,RENT,Low,80000,1,35000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,8.9,A,1,9.53,40007.62815,35000,0,1111.37,leinster
997543,2011,01/11/2011,1092013,3,RENT,Low,85000,1,26400, 60 months,2,INDIVIDUAL,house,12,Low,Good Loan,11.71,B,2,9.66,30717.5,26400,0,583.4,leinster
994404,2011,01/10/2011,1112014,2,OWN,Low,78885,1,20000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,12.42,B,2,23.32,24055.86436,20000,0,668.31,Northern-Irl
990008,2011,01/10/2011,1012016,6,MORTGAGE,Low,70000,1,14000, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,15.96,C,3,6.89,16949.25,10804.02,0,340.16,leinster
978229,2011,01/10/2011,1082015,1,RENT,Low,31200,1,12000, 60 months,2,INDIVIDUAL,house,12,High,Bad Loan,15.96,C,3,13.31,12844.08,7738.85,47.79,291.57,cannught
986936,2011,01/10/2011,1062013,10,MORTGAGE,Low,94000,1,10000, 36 months,1,INDIVIDUAL,house,12,High,Good Loan,14.27,C,3,9.92,11515.88,10000,0,343.09,cannught
986474,2011,01/10/2011,1102014,3,OWN,Low,30000,1,8875, 36 months,1,INDIVIDUAL,house,12,High,Good Loan,14.27,C,3,14.64,10954.65852,8875,0,304.5,munster
971732,2011,01/10/2011,1122011,0.5,RENT,Low,21120,1,10000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,8.9,A,1,1.42,10074.7,10000,0,317.54,leinster
986209,2011,01/10/2011,1072013,6,RENT,Low,69000,1,7200, 60 months,2,INDIVIDUAL,house,12,High,Bad Loan,19.91,E,5,4.21,3943.02,1463.19,329.58,190.4,leinster
985470,2011,01/10/2011,1082013,4,OWN,Low,42000,1,10000, 36 months,1,INDIVIDUAL,house,12,High,Good Loan,14.65,C,3,21.54,12001.72,10000,0,344.95,leinster
985440,2011,01/10/2011,1062013,0.5,MORTGAGE,Low,75000,1,31800, 60 months,2,INDIVIDUAL,house,12,Low,Good Loan,12.69,B,2,0.45,36977.55,31800,0,718.52,cannught
984448,2011,01/10/2011,1042014,0.5,RENT,Low,32000,1,15000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,11.71,B,2,11.48,17757.5982,15000,0,496.14,Northern-Irl
976150,2011,01/10/2011,1042013,7,MORTGAGE,Low,55000,1,18000, 60 months,2,INDIVIDUAL,house,12,Low,Good Loan,11.71,B,2,2.03,20808.02,18000,0,397.77,ulster
981842,2011,01/10/2011,1082014,4,RENT,Low,32000,1,8000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,6.62,A,1,15.23,8836.834072,8000,0,245.63,Northern-Irl
866572,2011,01/10/2011,1042013,10,MORTGAGE,Low,40000,1,15300, 60 months,2,INDIVIDUAL,house,12,Low,Good Loan,7.9,A,1,25.23,16891.08,15300,0,309.5,munster
976577,2011,01/10/2011,1012013,4,MORTGAGE,Medium,140000,2,21800, 60 months,2,INDIVIDUAL,house,12,High,Bad Loan,21.28,F,6,1.46,18749.95,13965.64,448.7,593.21,leinster
978485,2011,01/10/2011,1032014,10,MORTGAGE,Low,54150,1,22250, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,18.25,D,4,18.19,30405.37303,22250,0,568.04,leinster
976283,2011,01/10/2011,1112014,6.05,OWN,Low,33000,1,2500, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,6.03,A,1,15.56,2754.017852,2500,0,76.09,Northern-Irl
974837,2011,01/10/2011,1082014,9,RENT,Low,60000,1,12000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,7.9,A,1,4.06,13509.02054,12000,0,375.49,ulster
890763,2011,01/10/2011,1102014,3,RENT,Low,77250,1,4000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,11.71,B,2,8.9,4776.327759,4000,0,132.31,Northern-Irl
967756,2011,01/10/2011,1022014,10,RENT,High,230000,3,35000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,8.9,A,1,6.57,39644.62,35000,0,1111.37,ulster
972703,2011,01/10/2011,1102014,6,MORTGAGE,Low,55000,1,2500, 36 months,1,INDIVIDUAL,house,12,High,Good Loan,13.49,C,3,15.99,3050.640562,2500,0,84.83,ulster
972488,2011,01/10/2011,1042014,8,MORTGAGE,Medium,135000,2,12000, 60 months,2,INDIVIDUAL,house,12,High,Bad Loan,18.64,E,5,10.31,9258.08,4632.48,0,308.92,Northern-Irl
892889,2011,01/09/2011,1082014,1,OWN,Low,52000,1,13200, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,12.42,B,2,14.84,15861.37154,13200,0,441.09,ulster
965848,2011,01/10/2011,1072013,0.5,MORTGAGE,High,305000,3,35000, 36 months,1,INDIVIDUAL,house,12,High,Good Loan,17.58,D,4,12.15,43287.57,35000,0,1257.98,leinster
949894,2011,01/09/2011,1102012,10,OWN,Low,54000,1,12000, 60 months,2,INDIVIDUAL,house,12,High,Bad Loan,19.42,E,5,7.67,4366.1,1568.93,608.54,314.07,munster
890919,2011,01/09/2011,1102014,10,MORTGAGE,Low,42000,1,9100, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,6.03,A,1,14.66,9970.331856,9100,0,276.97,Northern-Irl
892465,2011,01/10/2011,1092015,10,MORTGAGE,Low,42000,1,25000, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,17.58,D,4,0.94,34087.28968,25000,0,629.14,cannught
892412,2011,01/09/2011,1052013,6,RENT,Medium,105000,2,14000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,6.03,A,1,7.35,14882.52,14000,0,426.1,Northern-Irl
855095,2011,01/09/2011,1102014,3,MORTGAGE,Low,75000,1,16000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,6.62,A,1,5.55,17682.93558,16000,0,491.26,cannught
891016,2011,01/09/2011,1062013,2,RENT,Low,56000,1,14000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,10.65,B,2,25.8,15794.52,14000,0,456.03,leinster
890708,2011,01/09/2011,1082013,10,RENT,Medium,180000,2,14000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,6.03,A,1,2.37,15120.31,14000,0,426.1,ulster
884211,2011,01/09/2011,1012016,6,OWN,Low,24000,1,5300, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,16.77,D,4,18.1,6655.45,4183.86,0,131.07,cannught
890563,2011,01/09/2011,1062012,3,MORTGAGE,Medium,111000,2,5150, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,6.62,A,1,0.94,5356.88,5150,0,158.13,leinster
887836,2011,01/09/2011,1052015,5,MORTGAGE,Medium,139872,2,30000, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,15.96,C,3,13.37,42463.00841,30000,0,728.91,ulster
885196,2011,01/09/2011,1102014,1,RENT,Low,80000,1,12000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,6.62,A,1,9.69,13262.43396,12000,0,368.45,ulster
884840,2011,01/09/2011,1042014,5,MORTGAGE,Low,50000,1,22800, 36 months,1,INDIVIDUAL,house,12,High,Good Loan,17.27,D,4,1.7,29004.56195,22800,0,815.95,munster
884600,2011,01/09/2011,1022012,10,MORTGAGE,Low,99000,1,12000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,6.03,A,1,2.21,12232.86,12000,0,365.23,cannught
883314,2011,01/09/2011,1102014,6.05,OWN,Low,16000,1,6000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,7.9,A,1,1.88,6757.707754,6000,0,187.75,cannught
882901,2011,01/09/2011,1012015,4,RENT,Low,54804,1,3600, 36 months,1,INDIVIDUAL,house,12,High,Good Loan,16.77,D,4,8.23,4658.178562,3600,0,127.94,ulster
882849,2011,01/09/2011,1122015,6,MORTGAGE,Low,100000,1,35000, 60 months,2,INDIVIDUAL,house,12,Low,Good Loan,11.71,B,2,1.9,30035.71,21602.21,0,589.47,ulster
832346,2011,01/09/2011,1072014,3,RENT,Low,66000,1,10000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,6.62,A,1,9.24,11046.78347,10000,0,307.04,cannught
869300,2011,01/09/2011,1122013,6,MORTGAGE,Low,82248,1,9750, 36 months,1,INDIVIDUAL,house,12,High,Bad Loan,14.27,C,3,15.68,9139.51,6600.84,459.15,334.52,leinster
876622,2011,01/09/2011,1032012,0.5,RENT,Low,60000,1,35000, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,13.49,C,3,8.8,24024.97,22550,0,518.76,Northern-Irl
871193,2011,01/09/2011,1022014,10,RENT,Medium,150000,2,35000, 60 months,2,INDIVIDUAL,house,12,High,Bad Loan,20.25,F,6,4.69,36291.3,8933.32,14004.01,932.17,Northern-Irl
874554,2011,01/09/2011,1032015,6,MORTGAGE,Low,45000,1,29100, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,19.29,E,5,16.96,42808.59916,29100,0,759.53,munster
765715,2011,01/09/2011,1092013,6.05,MORTGAGE,Low,24000,1,5800, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,5.99,A,1,13.3,6284.29,5800,0,176.43,leinster
870601,2011,01/09/2011,1022013,0.5,OWN,Low,31200,1,4350, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,5.99,A,1,3.12,4642.24,4350,0,132.32,ulster
868596,2011,01/09/2011,1082013,6.05,MORTGAGE,Medium,109000,2,15000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,11.49,B,2,22.41,17391.49,15000,0,494.57,ulster
868215,2011,01/09/2011,1072014,6.05,MORTGAGE,Low,70000,1,24000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,5.99,A,1,1.8,26269.68342,24000,0,730.02,leinster
867857,2011,01/09/2011,1072014,3,MORTGAGE,Medium,120000,2,30000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,11.49,B,2,5.22,35576.82399,30000,0,989.14,cannught
867893,2011,01/09/2011,1122012,1,RENT,Low,85000,1,14300, 60 months,2,INDIVIDUAL,house,12,High,Bad Loan,16.49,D,4,14.91,5974.44,3273.72,17.8,351.49,Northern-Irl
865730,2011,01/09/2011,1022014,3,MORTGAGE,Low,65000,1,10000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,12.99,C,3,21.97,12026.81,10000,0,336.9,leinster
842490,2011,01/09/2011,1022015,2,MORTGAGE,High,252000,3,28000, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,18.79,E,5,11.31,40836.45992,28000,0,723.11,cannught
865019,2011,01/08/2011,1032013,2,RENT,Low,65000,1,4200, 36 months,1,INDIVIDUAL,house,12,High,Good Loan,14.79,C,3,6.15,4941.9,4200,0,145.17,ulster
864070,2011,01/09/2011,1012016,10,MORTGAGE,Low,80000,1,26500, 60 months,2,INDIVIDUAL,house,12,Low,Good Loan,10.99,B,2,5.79,29914.49,22051.54,0,576.05,Northern-Irl
863059,2011,01/08/2011,1102012,9,RENT,Low,88500,1,12000, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,17.49,D,4,19.34,13997.25,12000,0,301.41,leinster
862560,2011,01/09/2011,1072012,10,MORTGAGE,High,300000,3,35000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,9.99,B,2,2.77,37152.35,35000,0,1129.19,cannught
856703,2011,01/09/2011,1022014,10,MORTGAGE,Low,48000,1,14400, 60 months,2,INDIVIDUAL,house,12,Low,Good Loan,12.99,C,3,3.55,18055.42986,14400,0,327.58,cannught
860734,2011,01/08/2011,1092014,10,MORTGAGE,Low,45000,1,5000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,7.49,A,1,27.73,5596.079282,5000,0,155.51,leinster
854443,2011,01/08/2011,1042013,10,OWN,Low,49200,1,25000, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,13.49,C,3,22.07,29731.53,25000,0,575.12,cannught
854501,2011,01/08/2011,1022014,0.5,OWN,Low,50000,1,2800, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,10.59,B,2,19.34,3257.31,2800,0,91.13,cannught
855736,2011,01/08/2011,1092014,3,MORTGAGE,Low,80000,1,20000, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,15.62,D,4,4.32,27240.08528,20000,0,482.34,cannught
847773,2011,01/08/2011,1122014,1,RENT,Low,54000,1,5100, 60 months,2,INDIVIDUAL,house,12,High,Bad Loan,21.36,F,6,10.09,5892.87,2769.27,341.13,139.01,ulster
847317,2011,01/08/2011,1122012,3,MORTGAGE,Low,45000,1,22000, 60 months,2,INDIVIDUAL,house,12,High,Bad Loan,13.49,C,3,7.97,8096.74,4501.68,11.78,506.11,munster
845636,2011,01/08/2011,1102014,2,RENT,Low,34000,1,20000, 60 months,2,INDIVIDUAL,house,12,Low,Good Loan,11.99,B,2,14.4,25700.47415,20000,0,444.79,cannught
841453,2011,01/08/2011,1072012,2,RENT,Low,48000,1,4800, 36 months,1,INDIVIDUAL,house,12,High,Bad Loan,15.23,C,3,2.08,1797.13,1115.31,138.93,166.94,leinster
837521,2011,01/08/2011,1012016,1,MORTGAGE,Low,70000,1,10075, 60 months,2,INDIVIDUAL,house,12,Low,Good Loan,11.99,B,2,24.29,11854.11,8554.19,0,224.07,cannught
833334,2011,01/08/2011,1082012,6.05,OWN,Low,20856,1,10000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,10.59,B,2,10.82,10916.21,10000,0,325.45,cannught
832719,2011,01/07/2011,1062013,10,MORTGAGE,Low,84000,1,5000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,10.99,B,2,12.31,5740.79,5000,0,163.67,leinster
820356,2011,01/07/2011,1062012,10,MORTGAGE,Medium,150000,2,15600, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,15.62,D,4,4.45,17523.6,15600,0,376.22,cannught
817816,2011,01/07/2011,1082014,2,RENT,Low,66000,1,14000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,12.99,C,3,5.33,16974.49233,14000,0,471.65,ulster
815007,2011,01/07/2011,1082014,5,MORTGAGE,Low,40000,1,3600, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,7.49,A,1,1.14,4029.191531,3600,0,111.97,cannught
808708,2011,01/07/2011,1022015,5,MORTGAGE,Low,89500,1,20675, 60 months,2,INDIVIDUAL,house,12,Low,Good Loan,12.99,C,3,12.86,27410.55453,20675,0,470.32,munster
812696,2011,01/07/2011,1052013,10,MORTGAGE,Low,75000,1,5000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,9.99,B,2,13.1,5670.24,5000.01,0,161.32,leinster
810142,2011,01/07/2011,1112013,7,MORTGAGE,Low,73000,1,12000, 36 months,1,INDIVIDUAL,house,12,High,Good Loan,16.89,D,4,14.47,15116.86,12000,0,427.18,leinster
809149,2011,01/07/2011,1072013,10,RENT,Medium,120000,2,28000, 36 months,1,INDIVIDUAL,house,12,Low,Bad Loan,11.99,B,2,8.88,22942.54,17531.54,628.54,929.87,ulster
760113,2011,01/07/2011,1112015,5,RENT,Low,31200,1,12800, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,17.99,E,5,4.77,19333.34,12800,0,324.97,ulster
798659,2011,01/06/2011,1022014,1,RENT,Low,17376,1,6000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,10.99,B,2,13.47,7041.55,6000,0,196.41,cannught
795816,2011,01/06/2011,1042013,10,RENT,Low,86000,1,8000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,5.99,A,1,8.13,8618.98,8000,0,243.34,cannught
795714,2011,01/06/2011,1112012,10,RENT,Low,40000,1,12000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,10.59,B,2,0.72,12825.74,12000,0,390.54,ulster
796177,2011,01/07/2011,1122011,3,RENT,Low,67000,1,6000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,9.99,B,2,4.76,6237.6,6000,0,193.58,Northern-Irl
789142,2011,01/06/2011,1122011,4,RENT,Low,44400,1,15650, 36 months,1,INDIVIDUAL,house,12,High,Good Loan,21.74,F,6,13.86,16533.2,15650,0,595.58,Northern-Irl
788396,2011,01/06/2011,1042015,0.5,RENT,Medium,124000,2,35000, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,18.79,E,5,7.7,33134.67725,22025,0,568.8,ulster
787818,2011,01/06/2011,1072014,10,RENT,Low,24960,1,4000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,5.42,A,1,18.08,4342.042068,4000,0,120.64,munster
787725,2011,01/06/2011,1072014,10,MORTGAGE,Medium,120000,2,5000, 36 months,1,INDIVIDUAL,house,12,High,Good Loan,15.99,D,4,16.01,6319.536519,5000,0,175.77,munster
778906,2011,01/06/2011,1062014,4,MORTGAGE,Low,31000,1,12000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,5.42,A,1,5.81,13027.39013,12000,0,361.92,cannught
772782,2011,01/06/2011,1012016,2,RENT,Low,42000,1,12325, 60 months,2,INDIVIDUAL,house,12,Low,Bad Loan,11.49,B,2,17.03,12325,0,12325,271,Northern-Irl
756890,2011,01/06/2011,1092013,4,MORTGAGE,Low,60000,1,12000, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,16.89,D,4,14.14,15807.6,12000,0,297.53,leinster
769578,2011,01/05/2011,1012016,10,RENT,Low,44000,1,23325, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,13.49,C,3,25.04,29506.05,20726.74,0,536.59,Northern-Irl
767014,2011,01/05/2011,1062014,10,MORTGAGE,Low,99000,1,5000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,11.49,B,2,18.64,5933.971405,5000,0,164.86,leinster
765998,2011,01/05/2011,1032013,8,MORTGAGE,Low,56400,1,17300, 36 months,1,INDIVIDUAL,house,12,High,Good Loan,15.62,D,4,10.49,20874.5,17299.98,0,604.98,leinster
765209,2011,01/05/2011,1102013,4,MORTGAGE,Low,64500,1,5000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,6.99,A,1,3.27,5525.35,5000,0,154.37,munster
